ANO,NOME,IDADE_ALUNO,FASE_TURMA,UNIDADE,ANO_INGRESSO,PEDRA,PONTO_VIRADA,INDE,INDE_CONCEITO,IAA,IEG,IPS,IDA,IPP,IPV,IAN,ANOS_PM,INSTITUICAO_ENSINO_ALUNO,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,NIVEL_IDEAL,DEFASAGEM,SINALIZADOR_INGRESSANTE,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,BOLSISTA,INDICADO_BOLSA
2021,ALUNO-1228,12.0,3L,Cipó,,Quartzo,Não,3.6,,0.0,0.6,7.5,3.1,6.3,2.5,10.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1229,10.0,1J,Filipinho,,Ágata,Não,5.59,,9.5,5.8,4.4,0.7,8.1,7.9,5.0,3.0,Escola Pública,,,,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1230,13.0,4G,Filipinho,,Ametista,Não,7.71,,7.1,8.6,6.9,5.8,8.1,8.1,10.0,4.0,Rede Decisão,,,,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 3 (7o e 8o ano),1.0,Veterano,,,,,,,,,
2021,ALUNO-1231,13.0,2E,,,Quartzo,Não,4.13,,0.0,1.7,6.3,3.1,7.5,6.5,5.0,4.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1232,13.0,2H,Filipinho,,Quartzo,Não,2.72,,0.0,0.8,7.5,0.9,6.3,2.5,5.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1233,,5F,Filipinho,,Ametista,Não,7.42,,9.6,6.7,5.0,7.8,7.7,6.5,10.0,,Rede Decisão,,,,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),0.0,Veterano,,,,,,,,,
2021,ALUNO-1234,,0L,Cipó,,Ametista,Não,7.23,,8.5,6.7,7.5,5.6,7.5,7.2,10.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1237,14.0,3F,Filipinho,,Quartzo,Não,4.37,,6.7,2.2,7.5,2.3,7.1,4.2,5.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1238,9.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1239,,1R,Granjinha,,Ágata,Não,5.57,,8.5,5.8,7.5,2.0,7.3,5.9,5.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1240,,2K,Cipó,,Ametista,Não,6.92,,7.4,7.9,7.5,4.3,7.9,8.5,5.0,1.0,Escola Pública,,,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1241,12.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1242,,1G,Filipinho,,Quartzo,Não,5.51,,7.4,4.6,7.5,2.4,8.1,6.6,5.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
